Format Version,1.23,Take Name,RightToLeft,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2022-07-14 12.08.44.023 PM,Capture Start Frame,1070568,Total Frames in Take,2188,Total Exported Frames,2188,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Can,Can,Can,Can,Can,Can,Can,"Can:Marker1","Can:Marker1","Can:Marker1","Can:Marker1","Can:Marker2","Can:Marker2","Can:Marker2","Can:Marker2","Can:Marker3","Can:Marker3","Can:Marker3","Can:Marker3","Can:Marker4","Can:Marker4","Can:Marker4","Can:Marker4",Hand,Hand,Hand,Hand,Hand,Hand,Hand,"Hand:Marker1","Hand:Marker1","Hand:Marker1","Hand:Marker1","Hand:Marker2","Hand:Marker2","Hand:Marker2","Hand:Marker2","Hand:Marker3","Hand:Marker3","Hand:Marker3","Hand:Marker3",ForeArm,ForeArm,ForeArm,ForeArm,ForeArm,ForeArm,ForeArm,"ForeArm:Marker1","ForeArm:Marker1","ForeArm:Marker1","ForeArm:Marker1","ForeArm:Marker2","ForeArm:Marker2","ForeArm:Marker2","ForeArm:Marker2","ForeArm:Marker3","ForeArm:Marker3","ForeArm:Marker3","ForeArm:Marker3","ForeArm:Marker4","ForeArm:Marker4","ForeArm:Marker4","ForeArm:Marker4",Target,Target,Target,Target,Target,Target,Target,"Target:Marker1","Target:Marker1","Target:Marker1","Target:Marker1","Target:Marker2","Target:Marker2","Target:Marker2","Target:Marker2","Target:Marker3","Target:Marker3","Target:Marker3","Target:Marker3","Target:Marker4","Target:Marker4","Target:Marker4","Target:Marker4",Chest,Chest,Chest,Chest,Chest,Chest,Chest,"Chest:Marker1","Chest:Marker1","Chest:Marker1","Chest:Marker1","Chest:Marker2","Chest:Marker2","Chest:Marker2","Chest:Marker2","Chest:Marker3","Chest:Marker3","Chest:Marker3","Chest:Marker3",UpperArm,UpperArm,UpperArm,UpperArm,UpperArm,UpperArm,UpperArm,"UpperArm:Marker1","UpperArm:Marker1","UpperArm:Marker1","UpperArm:Marker1","UpperArm:Marker2","UpperArm:Marker2","UpperArm:Marker2","UpperArm:Marker2","UpperArm:Marker3","UpperArm:Marker3","UpperArm:Marker3","UpperArm:Marker3",Can:Marker1,Can:Marker1,Can:Marker1,Can:Marker2,Can:Marker2,Can:Marker2,Can:Marker3,Can:Marker3,Can:Marker3,Can:Marker4,Can:Marker4,Can:Marker4,Chest:Marker1,Chest:Marker1,Chest:Marker1,Chest:Marker2,Chest:Marker2,Chest:Marker2,Chest:Marker3,Chest:Marker3,Chest:Marker3,ForeArm:Marker1,ForeArm:Marker1,ForeArm:Marker1,ForeArm:Marker2,ForeArm:Marker2,ForeArm:Marker2,ForeArm:Marker3,ForeArm:Marker3,ForeArm:Marker3,ForeArm:Marker4,ForeArm:Marker4,ForeArm:Marker4,Hand:Marker1,Hand:Marker1,Hand:Marker1,Hand:Marker2,Hand:Marker2,Hand:Marker2,Hand:Marker3,Hand:Marker3,Hand:Marker3,Target:Marker1,Target:Marker1,Target:Marker1,Target:Marker2,Target:Marker2,Target:Marker2,Target:Marker3,Target:Marker3,Target:Marker3,Target:Marker4,Target:Marker4,Target:Marker4,UpperArm:Marker1,UpperArm:Marker1,UpperArm:Marker1,UpperArm:Marker2,UpperArm:Marker2,UpperArm:Marker2,UpperArm:Marker3,UpperArm:Marker3,UpperArm:Marker3
,ID,"967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","967B97DA0E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F0BA5DD00E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","F84012510E5811EDD62C49742FF0DBA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","8B2B25EA0F0111EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","3B7C5D7E0F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","D11DB4C20F0211EDD62C49742FF0DCA1","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","51AC671E0F0211EDD62C49742FF0DCA1","51AC671E0F0211EDD62C49742FF0DCA1","51AC671E0F0211EDD62C49742FF0DCA1","51AC671F0F0211EDD62C49742FF0DCA1","51AC671F0F0211EDD62C49742FF0DCA1","51AC671F0F0211EDD62C49742FF0DCA1","51AC67200F0211EDD62C49742FF0DCA1","51AC67200F0211EDD62C49742FF0DCA1","51AC67200F0211EDD62C49742FF0DCA1","C3540","C3540","C3540","C3570","C3570","C3570","C35A0","C35A0","C35A0","C3560","C3560","C3560","C3580","C3580","C3580","C3590","C3590","C3590","C35B0","C35B0","C35B0","CC54790B0F0111EDD62C49742FF0DCA1","CC54790B0F0111EDD62C49742FF0DCA1","CC54790B0F0111EDD62C49742FF0DCA1","CC54790C0F0111EDD62C49742FF0DCA1","CC54790C0F0111EDD62C49742FF0DCA1","CC54790C0F0111EDD62C49742FF0DCA1","CC54790D0F0111EDD62C49742FF0DCA1","CC54790D0F0111EDD62C49742FF0DCA1","CC54790D0F0111EDD62C49742FF0DCA1","CC54790E0F0111EDD62C49742FF0DCA1","CC54790E0F0111EDD62C49742FF0DCA1","CC54790E0F0111EDD62C49742FF0DCA1","E4260A600F0211EDD62C49742FF0DCA1","E4260A600F0211EDD62C49742FF0DCA1","E4260A600F0211EDD62C49742FF0DCA1","E4260A610F0211EDD62C49742FF0DCA1","E4260A610F0211EDD62C49742FF0DCA1","E4260A610F0211EDD62C49742FF0DCA1","E4260A620F0211EDD62C49742FF0DCA1","E4260A620F0211EDD62C49742FF0DCA1","E4260A620F0211EDD62C49742FF0DCA1"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.021086,-0.021680,0.029361,0.136293,0.066209,0.771250,0.000094,0.109246,0.049096,0.802875,0.978086,0.131439,0.122705,0.771185,0.958604,0.135572,0.083837,0.732029,0.990007,0.168915,0.009196,0.778912,0.989439,0.460054,-0.158483,-0.517255,0.037881,0.071132,0.952420,0.000072,0.017560,0.046631,0.946382,0.992994,0.027780,0.087606,0.947978,0.980318,0.068302,0.079159,0.962901,0.986040,0.002951,0.005658,-0.017783,-0.068671,0.194395,0.850029,0.000123,-0.154376,0.266710,0.824668,0.959135,-0.019925,0.117090,0.919428,0.981667,0.028781,0.135934,0.894513,0.988609,-0.129164,0.257847,0.761508,0.966881,0.020969,-0.008422,0.027913,0.133494,0.001408,0.572082,0.030169,0.094130,0.001607,0.527638,0.000001,0.096245,0.001171,0.623137,0.000001,0.170237,0.001833,0.521614,0.996615,0.173362,0.001020,0.615938,0.996392,0.031274,0.019156,0.191739,-0.197038,0.483879,0.587981,0.000138,-0.245779,0.563218,0.706687,0.966588,-0.199958,0.543281,0.550986,0.965802,-0.145376,0.345139,0.506271,0.963221,-0.000006,0.000010,-0.000002,-0.176429,0.362615,0.764297,0.000000,-0.245806,0.563349,0.706684,1.000000,-0.154280,0.266612,0.824579,0.999996,-0.129201,0.257886,0.761629,0.999996,0.109258,0.049182,0.802859,0.131433,0.122543,0.771217,0.135572,0.083872,0.732010,0.168908,0.009237,0.778914,,,,-0.199977,0.543222,0.551108,-0.145329,0.345067,0.506152,,,,-0.019945,0.117159,0.919415,0.028741,0.135924,0.894492,,,,0.017551,0.046657,0.946377,0.027835,0.087554,0.948000,0.068255,0.079184,0.962883,0.096296,0.001230,0.623045,0.094078,0.001549,0.527641,0.170237,0.001833,0.521600,0.173362,0.001020,0.615953,-0.245806,0.563349,0.706684,-0.154280,0.266612,0.824579,-0.129201,0.257886,0.761629
1,0.004167,0.022256,-0.024218,0.029792,0.136292,0.066212,0.771251,0.000098,0.109244,0.049099,0.802875,0.978086,0.131437,0.122708,0.771187,0.958604,0.135573,0.083841,0.732031,0.990007,0.168914,0.009199,0.778913,0.989439,0.471172,-0.158887,-0.507715,0.037868,0.071116,0.952409,0.000078,0.017552,0.046613,0.946366,0.992994,0.027765,0.087589,0.947970,0.980318,0.068288,0.079146,0.962892,0.986040,0.010411,-0.000570,-0.012131,-0.068685,0.194385,0.850022,0.000123,-0.154395,0.266695,0.824660,0.959135,-0.019939,0.117075,0.919416,0.981667,0.028768,0.135928,0.894508,0.988609,-0.129175,0.257843,0.761502,0.966881,0.022047,-0.005741,0.023668,0.133493,0.001411,0.572087,0.030171,0.094127,0.001614,0.527645,0.000001,0.096247,0.001176,0.623143,0.000001,0.170234,0.001834,0.521617,0.996615,0.173363,0.001019,0.615941,0.996392,0.030034,0.023257,0.193748,-0.197046,0.483867,0.587969,0.000140,-0.245782,0.563207,0.706676,0.966588,-0.199971,0.543268,0.550973,0.965802,-0.145386,0.345127,0.506258,0.963221,0.000072,-0.001867,-0.001562,-0.176441,0.362607,0.764290,0.000002,-0.245811,0.563342,0.706674,1.000000,-0.154296,0.266603,0.824572,0.999996,-0.129215,0.257876,0.761623,0.999996,0.109264,0.049183,0.802857,0.131428,0.122544,0.771219,0.135573,0.083879,0.732011,0.168902,0.009240,0.778918,,,,-0.199991,0.543206,0.551098,-0.145338,0.345055,0.506136,,,,-0.019959,0.117143,0.919398,0.028729,0.135919,0.894495,,,,0.017549,0.046641,0.946363,0.027821,0.087540,0.947993,0.068236,0.079167,0.962872,0.096299,0.001248,0.623031,0.094083,0.001543,0.527640,0.170233,0.001834,0.521602,0.173363,0.001019,0.615957,-0.245810,0.563341,0.706674,-0.154295,0.266600,0.824573,-0.129217,0.257879,0.761622
2,0.008333,0.017598,-0.020802,0.033296,0.136292,0.066215,0.771254,0.000098,0.109247,0.049102,0.802880,0.977737,0.131435,0.122711,0.771185,0.958028,0.135570,0.083841,0.732032,0.989274,0.168918,0.009204,0.778919,0.989171,0.460724,-0.171966,-0.520378,0.037852,0.071105,0.952399,0.000076,0.017532,0.046606,0.946356,0.992999,0.027754,0.087580,0.947955,0.980658,0.068271,0.079130,0.962888,0.985070,0.015761,-0.009170,-0.012577,-0.068703,0.194380,0.850011,0.000118,-0.154408,0.266692,0.824643,0.959167,-0.019968,0.117063,0.919405,0.981861,0.028743,0.135917,0.894506,0.989451,-0.129179,0.257846,0.761488,0.967014,0.026000,-0.005412,0.018264,0.133493,0.001414,0.572084,0.030170,0.094127,0.001624,0.527643,0.000001,0.096247,0.001179,0.623141,0.000001,0.170234,0.001837,0.521614,0.996406,0.173363,0.001016,0.615938,0.996139,0.030602,0.027692,0.192366,-0.197054,0.483861,0.587953,0.000139,-0.245778,0.563201,0.706665,0.965750,-0.199980,0.543262,0.550958,0.964847,-0.145403,0.345120,0.506237,0.962607,0.004776,-0.013799,-0.000105,-0.176446,0.362606,0.764275,0.000008,-0.245810,0.563344,0.706662,0.999717,-0.154312,0.266598,0.824554,0.999283,-0.129218,0.257877,0.761609,0.999043,0.109259,0.049187,0.802861,0.131433,0.122546,0.771216,0.135566,0.083875,0.732017,0.168912,0.009250,0.778921,,,,-0.199999,0.543195,0.551084,-0.145355,0.345050,0.506112,,,,-0.019990,0.117132,0.919388,0.028709,0.135905,0.894493,,,,0.017521,0.046635,0.946351,0.027812,0.087522,0.947979,0.068224,0.079158,0.962869,0.096295,0.001250,0.623027,0.094082,0.001555,0.527638,0.170233,0.001837,0.521601,0.173364,0.001016,0.615953,-0.245807,0.563338,0.706662,-0.154313,0.266598,0.824558,-0.129219,0.257883,0.761605
3,0.012500,0.021719,-0.018430,0.033281,0.136293,0.066211,0.771252,0.000096,0.109249,0.049097,0.802878,0.978045,0.131435,0.122708,0.771187,0.958034,0.135569,0.083840,0.732031,0.990735,0.168919,0.009201,0.778911,0.988387,0.458097,-0.177805,-0.527412,0.037831,0.071096,0.952387,0.000079,0.017508,0.046599,0.946343,0.992019,0.027735,0.087572,0.947941,0.978692,0.068250,0.079118,0.962878,0.985508,0.017016,-0.010771,-0.010099,-0.068720,0.194366,0.849999,0.000118,-0.154428,0.266675,0.824631,0.960151,-0.019984,0.117049,0.919393,0.981348,0.028727,0.135907,0.894496,0.990502,-0.129197,0.257831,0.761476,0.967716,0.020739,-0.010049,0.022469,0.133496,0.001414,0.572082,0.030169,0.094134,0.001617,0.527638,0.000001,0.096246,0.001181,0.623136,0.000001,0.170241,0.001835,0.521615,0.996704,0.173363,0.001022,0.615939,0.996422,0.031254,0.027679,0.187172,-0.197059,0.483856,0.587936,0.000140,-0.245777,0.563198,0.706649,0.964800,-0.199980,0.543257,0.550942,0.963848,-0.145421,0.345111,0.506218,0.962285,0.004299,-0.008165,-0.005434,-0.176459,0.362596,0.764263,0.000006,-0.245809,0.563340,0.706654,0.998332,-0.154327,0.266586,0.824540,0.999096,-0.129241,0.257862,0.761593,0.998013,0.109262,0.049183,0.802860,0.131430,0.122546,0.771219,0.135567,0.083874,0.732016,0.168914,0.009241,0.778914,,,,-0.199998,0.543193,0.551063,-0.145372,0.345036,0.506092,,,,-0.020006,0.117114,0.919376,0.028694,0.135898,0.894485,,,,0.017492,0.046631,0.946336,0.027798,0.087506,0.947967,0.068203,0.079152,0.962860,0.096302,0.001247,0.623035,0.094085,0.001552,0.527638,0.170241,0.001835,0.521601,0.173363,0.001022,0.615954,-0.245808,0.563338,0.706654,-0.154325,0.266580,0.824543,-0.129244,0.257870,0.761592
4,0.016667,0.020982,-0.022854,0.033336,0.136292,0.066212,0.771254,0.000093,0.109246,0.049098,0.802879,0.977727,0.131434,0.122709,0.771189,0.958920,0.135570,0.083841,0.732033,0.990655,0.168917,0.009202,0.778917,0.989703,0.481648,-0.169525,-0.518792,0.037809,0.071080,0.952379,0.000070,0.017489,0.046582,0.946327,0.990874,0.027710,0.087556,0.947941,0.976368,0.068228,0.079102,0.962869,0.984796,0.022354,-0.015511,-0.011895,-0.068739,0.194358,0.849986,0.000123,-0.154442,0.266673,0.824618,0.958747,-0.020010,0.117034,0.919377,0.982509,0.028703,0.135892,0.894486,0.991004,-0.129206,0.257834,0.761464,0.967085,0.034895,-0.010281,0.015389,0.133489,0.001409,0.572084,0.030173,0.094128,0.001628,0.527640,0.000001,0.096239,0.001168,0.623138,0.000001,0.170235,0.001838,0.521617,0.996645,0.173356,0.001002,0.615942,0.996407,0.033572,0.028684,0.185864,-0.197064,0.483853,0.587924,0.000144,-0.245777,0.563192,0.706640,0.964230,-0.199984,0.543257,0.550931,0.965355,-0.145430,0.345111,0.506199,0.961296,0.006272,-0.013572,-0.005074,-0.176465,0.362593,0.764254,0.000008,-0.245811,0.563339,0.706646,0.999301,-0.154339,0.266581,0.824530,0.998357,-0.129246,0.257859,0.761585,0.997756,0.109262,0.049177,0.802860,0.131430,0.122553,0.771222,0.135569,0.083873,0.732014,0.168906,0.009247,0.778921,,,,-0.200003,0.543195,0.551053,-0.145380,0.345033,0.506072,,,,-0.020037,0.117100,0.919358,0.028669,0.135887,0.894473,,,,0.017477,0.046613,0.946321,0.027761,0.087497,0.947962,0.068189,0.079130,0.962853,0.096295,0.001244,0.623034,0.094083,0.001553,0.527641,0.170234,0.001838,0.521599,0.173356,0.001001,0.615961,-0.245809,0.563333,0.706646,-0.154337,0.266577,0.824530,-0.129251,0.257870,0.761585
5,0.020833,0.018842,-0.012056,0.029496,0.136290,0.066212,0.771257,0.000098,0.109249,0.049101,0.802887,0.979352,0.131436,0.122709,0.771190,0.960042,0.135562,0.083839,0.732036,0.990628,0.168913,0.009200,0.778916,0.988285,0.481674,-0.178436,-0.519810,0.037786,0.071071,0.952363,0.000072,0.017466,0.046574,0.946308,0.991607,0.027687,0.087547,0.947923,0.979682,0.068204,0.079093,0.962858,0.987215,0.018017,-0.010801,-0.011945,-0.068755,0.194336,0.849984,0.000145,-0.154460,0.266649,0.824617,0.958140,-0.020021,0.117017,0.919376,0.981688,0.028690,0.135873,0.894480,0.990750,-0.129229,0.257805,0.761462,0.966532,0.021659,-0.008005,0.024636,0.133494,0.001409,0.572087,0.030171,0.094131,0.001611,0.527644,0.000001,0.096246,0.001174,0.623142,0.000001,0.170237,0.001833,0.521618,0.995511,0.173362,0.001018,0.615943,0.995259,0.035695,0.029258,0.178357,-0.197067,0.483845,0.587908,0.000151,-0.245769,0.563186,0.706628,0.964022,-0.199980,0.543250,0.550918,0.965594,-0.145453,0.345099,0.506178,0.960529,0.003479,-0.012740,-0.011316,-0.176474,0.362572,0.764254,0.000025,-0.245799,0.563323,0.706637,0.998406,-0.154357,0.266561,0.824535,0.998784,-0.129266,0.257833,0.761589,0.997183,0.109258,0.049188,0.802870,0.131433,0.122546,0.771221,0.135559,0.083875,0.732021,0.168911,0.009240,0.778918,,,,-0.200000,0.543187,0.551044,-0.145400,0.345016,0.506044,,,,-0.020054,0.117083,0.919345,0.028652,0.135879,0.894464,,,,0.017455,0.046606,0.946303,0.027739,0.087487,0.947945,0.068163,0.079121,0.962842,0.096300,0.001246,0.623031,0.094082,0.001540,0.527641,0.170237,0.001833,0.521603,0.173363,0.001018,0.615960,-0.245803,0.563333,0.706635,-0.154348,0.266559,0.824513,-0.129270,0.257825,0.761613
